"category_main","avg_rating","higest_rating"
"Car&Motorbike","3.80","3.80"
"Computers&Accessories","4.15","5.00"
"Electronics","4.08","4.70"
"Health&PersonalCare","4.00","4.00"
"Home&Kitchen","4.04","4.80"
"HomeImprovement","4.25","4.50"
"MusicalInstruments","3.90","4.00"
"OfficeProducts","4.31","4.50"
"Toys&Games","4.30","4.30"
